BLOCK        1     2     3     4     5
DURAT(%)  2.42 29.17  37.5    25  5.91
**** Load  :    1 COLOMBIA     Sgmnt:    1             Demanda
A~no Blk ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12 ...13 ...14 ...15 ...16 ...17 ...18 ...19 ...20 ...21 ...22 ...23 ...24 ...25 ...26 ...27 ...28 ...29 ...30 ...31 ...32 ...33 ...34 ...35 ...36 ...37 ...38 ...39 ...40 ...41 ...42 ...43 ...44 ...45 ...46 ...47 ...48 ...49 ...50 ...51 ...52
2021   4 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45
2021   5  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67
2022   1  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14
2022   2 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86
2022   3 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67
2022   4 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45
2022   5  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67
2023   1  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14
2023   2 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86
2023   3 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67
2023   4 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45
2023   5  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67
2024   1  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14
2024   2 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86
2024   3 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67
2024   4 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45
2024   5  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67
